Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,25.20,26.66,25.11,25.74,56807800,23.77
2011-08-29,25.53,26.86,25.37,25.80,51982100,23.82
2011-08-22,24.42,25.34,23.79,25.25,55974000,23.32
2011-08-15,25.24,25.70,23.91,24.05,68963300,22.21
2011-08-08,25.02,25.62,24.03,25.10,108764600,23.03
2011-08-01,27.51,27.69,25.23,25.68,79064700,23.56
2011-07-25,27.26,28.15,27.19,27.40,88552700,25.14
2011-07-18,26.63,27.64,26.26,27.53,67829100,25.26
2011-07-11,26.62,27.01,26.34,26.78,45539100,24.57
2011-07-05,26.10,26.98,25.90,26.92,49204100,24.70
2011-06-27,24.23,26.17,24.23,26.02,68913700,23.88
2011-06-20,24.17,24.86,24.16,24.30,61838400,22.30
2011-06-13,23.79,24.45,23.65,24.26,56076300,22.26
2011-06-06,23.89,24.25,23.69,23.71,46060400,21.76
2011-05-31,24.96,25.10,23.84,23.91,61603800,21.94
2011-05-23,24.21,25.03,24.03,24.76,52711200,22.72
2011-05-16,24.96,25.07,24.25,24.49,62279800,22.47
2011-05-09,25.80,25.96,24.95,25.03,76461400,22.82
2011-05-02,25.94,26.25,25.48,25.87,69320700,23.58
2011-04-25,25.56,26.87,25.34,25.92,110986400,23.63
2011-04-18,25.10,26.00,24.72,25.52,51359600,23.26
2011-04-11,26.19,26.25,25.09,25.37,45934300,23.13
2011-04-04,25.45,26.31,25.41,26.07,52137700,23.77
2011-03-28,25.66,25.72,25.30,25.48,51616700,23.23
2011-03-21,25.18,25.95,25.15,25.62,43493800,23.36
2011-03-14,25.49,25.76,24.68,24.80,75849900,22.61
2011-03-07,26.13,26.27,25.35,25.68,54354900,23.41
2011-02-28,26.69,26.86,25.80,25.95,59760300,23.66
2011-02-22,26.78,27.10,26.43,26.55,59655900,24.20
2011-02-14,27.21,27.37,26.60,27.06,59515100,24.67
2011-02-07,27.80,28.34,27.07,27.25,63480400,24.70
2011-01-31,27.77,28.11,27.42,27.77,54883200,25.17
2011-01-24,28.02,29.46,27.45,27.75,91460200,25.15
2011-01-18,28.16,28.74,28.02,28.02,55005600,25.39
2011-01-10,28.26,28.59,27.91,28.30,58053900,25.65
2011-01-03,28.05,28.85,27.77,28.60,65727200,25.92
2010-12-27,28.12,28.20,27.63,27.91,21947100,25.29
2010-12-20,27.95,28.40,27.68,28.30,39529700,25.65
2010-12-13,27.27,28.09,27.17,27.90,65357000,25.28
2010-12-06,26.93,27.40,26.76,27.34,44113100,24.78
2010-11-29,25.19,27.06,24.93,27.02,70078000,24.49
2010-11-22,25.65,25.74,25.09,25.25,50318800,22.88
2010-11-15,26.33,26.50,25.55,25.69,57474100,23.28
2010-11-08,26.68,28.87,26.10,26.27,61904400,23.66
2010-11-01,26.88,27.49,26.53,26.85,86224500,24.18
2010-10-25,25.24,27.20,25.06,26.67,75989100,24.02
2010-10-18,25.59,25.95,24.95,25.38,49327000,22.86
2010-10-11,24.74,25.55,24.43,25.54,54793900,23.00
2010-10-04,23.96,24.75,23.78,24.57,63641900,22.13
2010-09-27,24.85,24.99,24.30,24.38,53579600,21.96
2010-09-20,25.28,25.52,24.36,24.78,58992800,22.32
2010-09-13,24.20,25.53,24.09,25.22,74586500,22.72
2010-09-07,24.10,24.30,23.74,23.85,55438500,21.48
2010-08-30,23.74,24.45,23.32,24.29,57957900,21.88
2010-08-23,24.44,24.64,23.51,23.93,55123000,21.55
2010-08-16,24.36,24.96,24.20,24.23,48853100,21.82
2010-08-09,25.55,25.73,24.24,24.40,67321000,21.86
2010-08-02,25.99,26.38,25.02,25.55,62271600,22.89
2010-07-26,25.86,26.41,25.35,25.81,70121500,23.12
2010-07-19,24.96,26.02,24.70,25.81,67709200,23.12
2010-07-12,24.43,25.64,24.42,24.89,61318100,22.30
2010-07-06,23.70,24.62,23.58,24.27,64530300,21.74
2010-06-28,24.51,24.61,22.73,23.27,85888300,20.85
2010-06-21,26.78,26.89,24.31,24.53,82715400,21.98
2010-06-14,25.86,26.67,25.47,26.44,56276600,23.69
2010-06-07,25.82,25.83,24.65,25.66,80518700,22.99
2010-06-01,25.53,26.93,25.52,25.79,74885100,23.11
2010-05-24,26.85,26.86,24.56,25.80,110539900,23.12
2010-05-17,29.12,29.23,26.44,26.84,73215600,24.05
2010-05-10,29.01,29.73,28.57,28.93,61222400,25.80
2010-05-03,30.67,31.06,27.32,28.21,99048000,25.16
2010-04-26,31.00,31.43,30.52,30.54,62563600,27.24
2010-04-19,30.77,31.58,30.65,30.96,76825400,27.61
2010-04-12,30.25,31.00,30.13,30.67,57766600,27.36
2010-04-05,29.13,30.41,28.98,30.34,51696600,27.06
2010-03-29,29.71,29.86,28.62,29.16,51704700,26.01
2010-03-22,29.50,30.57,29.39,29.66,48499300,26.45
2010-03-15,29.18,29.90,29.01,29.59,49959700,26.39
2010-03-08,28.52,29.38,28.50,29.27,40325400,26.11
2010-03-01,28.77,29.30,28.24,28.59,56852700,25.50
2010-02-22,28.84,28.94,28.02,28.67,44249000,25.57
2010-02-16,28.13,29.03,28.02,28.77,46281700,25.66
2010-02-08,28.01,28.40,27.57,27.93,61543700,24.80
2010-02-01,28.39,28.79,27.57,28.02,72110500,24.88
2010-01-25,29.24,29.92,27.66,28.18,101072900,25.02
2010-01-19,30.75,31.24,28.84,28.96,69129100,25.71
2010-01-11,30.71,31.24,29.91,30.86,65934300,27.40
